number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
53,1.0763415125667626,2023-08-31 14:35:04.465433,2023-08-31 14:40:42.928747,0 days 00:05:38.463314,0.18686151337493143,1.2625284681786944,0.7637837903205352,0.009072205033137699,0.18617573138333945,0.8307477110794729,0.4324404219713338,3.018431458164882,0.2836549015175768,0.11,0.10996458290364683,PRUNED
54,0.49847717774717937,2023-08-31 14:40:42.949497,2023-08-31 14:48:21.408711,0 days 00:07:38.459214,0.2539081324693123,1.0586458652713437,0.7715698256297397,0.009682408337620203,0.19971728687235762,0.8491129771103648,0.48233863879002103,2.705700830010019,0.27491316170420005,0.1,0.10447305437195153,COMPLETE
55,1.1490733471322567,2023-08-31 14:48:21.434524,2023-08-31 14:51:40.377666,0 days 00:03:18.943142,0.2572608230739327,1.012409192055895,0.7729140087098892,0.008683411725322021,0.19406111167515097,0.848819538597634,0.4593496134691574,2.7067246442168793,0.27306912095857394,0.11,0.11161188348470422,PRUNED
56,1.1603744340703843,2023-08-31 14:51:40.399370,2023-08-31 14:54:59.272300,0 days 00:03:18.872930,0.215986737579405,0.8526084293361101,0.7939405892608333,0.009096480821911467,0.1839803784557661,0.8499597534826825,0.4251478915404302,2.5403866700983904,0.27724917919719966,0.1,0.10582918962351223,PRUNED
57,1.1519326734627393,2023-08-31 14:54:59.288904,2023-08-31 14:58:18.415642,0 days 00:03:19.126738,0.3219296667656215,0.9364212239929428,0.7809425841734268,0.009706981950366626,0.17281944574541175,0.8444673092217667,0.4416629830379677,2.384896709270489,0.257061698669669,0.1,0.11685075300758231,PRUNED
58,1.1568177519960607,2023-08-31 14:58:18.428266,2023-08-31 15:01:37.628083,0 days 00:03:19.199817,0.2389529387213508,1.0144481707183677,0.806966660748833,0.00840667643406572,0.17921592377342277,0.8354694955552453,0.47543133568377133,3.1340546803676825,0.28423297358315075,0.11,0.12232902850955137,PRUNED
59,1.1373430790630639,2023-08-31 15:01:37.644274,2023-08-31 15:04:56.716963,0 days 00:03:19.072689,0.12377502792715414,1.0666784240766138,0.7597328229684219,0.009247453470650042,0.19165416748602804,0.8221689183797226,0.4644193282859024,2.806029849943971,0.26393063161933966,0.12000000000000001,0.10854206903146589,PRUNED
60,0.5001797757558447,2023-08-31 15:04:56.740805,2023-08-31 15:13:13.382592,0 days 00:08:16.641787,0.34931185769063355,1.1541407852296186,0.7968200900367588,0.008834924196919487,0.16727156743417657,0.8290647104226984,0.48659310127145056,2.6286866078259816,0.2682249726538762,0.1,0.10330899849706146,COMPLETE
61,1.0157671211459112,2023-08-31 15:13:13.415265,2023-08-31 15:20:41.347759,0 days 00:07:27.932494,0.16826243230860233,1.1005964839700604,0.7688830765686604,0.009808499897179223,0.19696871426036652,0.8379725576882028,0.4916902168118133,2.8797644919915073,0.2894078382817581,0.1,0.10126121394256894,PRUNED
62,1.3074022647759593,2023-08-31 15:20:41.367344,2023-08-31 15:22:21.226234,0 days 00:01:39.858890,0.10505190106209863,1.20735768467887,0.7562638119812721,0.009997987394603166,0.1997230708084809,0.8449329323582111,0.4539740907896094,2.9610672613007525,0.29410862023741297,0.1,0.10352596394076383,PRUNED
63,1.1289555715753676,2023-08-31 15:22:21.249909,2023-08-31 15:25:40.832774,0 days 00:03:19.582865,0.2600738673650728,1.0428042177381511,0.7500064228021931,0.00962176818704309,0.18563811507917136,0.8395246869759256,0.48472423760312594,2.6642360909321705,0.2995635975359125,0.11,0.11440078739318654,PRUNED
64,1.1409429151115689,2023-08-31 15:25:40.844097,2023-08-31 15:29:00.292883,0 days 00:03:19.448786,0.17544217362252298,0.9099010551997089,0.775249744077859,0.009142119427515485,0.19415396697790363,0.8457505564343982,0.49891518173459914,2.525459860392518,0.2809120969037894,0.1,0.10789420992217764,PRUNED
65,1.137743873376373,2023-08-31 15:29:00.318424,2023-08-31 15:32:19.569752,0 days 00:03:19.251328,0.3100352085227753,1.1375280271531532,0.7648264470204912,0.009578853152719086,0.18841236115935875,0.8328277552267019,0.42564822549914955,2.7565174311542853,0.2757388122169749,0.11,0.10286326345801984,PRUNED
66,1.052244411715379,2023-08-31 15:32:19.586080,2023-08-31 15:37:57.890781,0 days 00:05:38.304701,0.21171014919314116,0.9712098082649554,0.7825785838917717,0.009239500922219228,0.18085523056014863,0.8387092245593929,0.44903793303089545,3.0390526505745785,0.2920531009869799,0.13,0.10002697677214299,PRUNED
67,1.14759712819512,2023-08-31 15:37:57.903079,2023-08-31 15:41:16.966335,0 days 00:03:19.063256,0.28012319559812887,0.782883221493974,0.7700674532738663,0.008516860567537855,0.19575327060138656,0.8451726584204489,0.46622912567835484,2.9071220556462185,0.28490354983016125,0.1,0.11175931897868052,PRUNED
68,1.1396430092500456,2023-08-31 15:41:16.983155,2023-08-31 15:44:36.000131,0 days 00:03:19.016976,0.1587737096381895,1.2390121476655611,0.7595080109273852,0.009667346789163601,0.1904718129154048,0.8253305094099462,0.40527723283661987,2.763766928283885,0.26939936367551354,0.11,0.10684123018483102,PRUNED
69,1.1319690934309723,2023-08-31 15:44:36.015992,2023-08-31 15:47:54.803827,0 days 00:03:18.787835,0.2519729419014372,1.0863713458666615,0.788999706000586,0.008948269984445503,0.17322877308142146,0.849743139301349,0.4827535087973662,1.4679285054775144,0.2560309346711763,0.1,0.10976534174569176,PRUNED
70,1.3135274255529363,2023-08-31 15:47:54.823888,2023-08-31 15:49:34.600425,0 days 00:01:39.776537,0.20605729492739722,1.0003200640503216,0.7570410809474417,0.00812817183638781,0.19942752613936557,0.8309149341879742,0.44436515753353223,2.3102324929526765,0.2936765495748268,0.11,0.10384773109272612,PRUNED
71,1.1473561787436195,2023-08-31 15:49:34.615731,2023-08-31 15:52:53.478477,0 days 00:03:18.862746,0.3536670074464222,1.1415520071589884,0.7957263394288829,0.008812259475857549,0.18514235734319612,0.8288353218171106,0.48365617976574715,2.620306815874616,0.2684475387929634,0.16,0.10323348085777354,PRUNED
72,1.0885221636887137,2023-08-31 15:52:53.494457,2023-08-31 15:57:21.203899,0 days 00:04:27.709442,0.3047295882615641,1.1563631316311813,0.7993554929671354,0.009703744465323719,0.1905505820997383,0.8383951653364892,0.4670716749706716,2.468671838111582,0.2807421523830973,0.1,0.10307495255697584,PRUNED
73,0.4832259540362479,2023-08-31 15:57:21.214044,2023-08-31 16:04:58.273545,0 days 00:07:37.059501,0.2344967078447121,1.0487765898441357,0.809833961527985,0.0092928777209799,0.17804818022142893,0.8410798421973473,0.48696386908420564,2.6242376405392993,0.2748273990199261,0.1,0.10687404201671316,COMPLETE
74,0.9960688603579575,2023-08-31 16:04:58.296991,2023-08-31 16:12:53.337379,0 days 00:07:55.040388,0.23108248711887866,1.0511634958291842,0.8111509076191835,0.009294804358607394,0.17919177789257776,0.8457514450881979,0.43627477902776196,2.8837227327004316,0.28671728932301677,0.1,0.10814376262383485,PRUNED
75,1.1576484885621579,2023-08-31 16:12:53.348853,2023-08-31 16:16:11.950207,0 days 00:03:18.601354,0.12856837671127389,0.882160540728475,0.7764755968424163,0.009359505101850756,0.19448174422335351,0.8347804989508225,0.49924246913291603,2.7414868192100217,0.2734509092002264,0.12000000000000001,0.11373108681544965,PRUNED
76,1.1367818417278588,2023-08-31 16:16:11.970197,2023-08-31 16:19:29.852934,0 days 00:03:17.882737,0.17907528592294392,0.9505917842858911,0.7671280345619258,0.009684255744769455,0.1998335415934909,0.8409305949037806,0.46573228832779096,3.1049001473330367,0.2957492772630119,0.1,0.10643733789990663,PRUNED
77,1.0331239600976307,2023-08-31 16:19:29.867063,2023-08-31 16:25:36.799904,0 days 00:06:06.932841,0.26765569349937945,1.0069503546015677,0.7502943530593622,0.009993994945014618,0.1825407270344827,0.8461448848764694,0.4542647174754282,2.9403341180080953,0.27843572445573816,0.11,0.11996134510833473,PRUNED
78,1.312509853155055,2023-08-31 16:25:36.811377,2023-08-31 16:27:16.792697,0 days 00:01:39.981320,0.2154654246743998,1.0995377778601672,0.7837574591022722,0.008515773805728481,0.17617888811672075,0.8414159524684697,0.42538998296461317,2.5864672918228138,0.28886872841610706,0.1,0.11589072220070046,PRUNED
79,1.3401023335490667,2023-08-31 16:27:16.807901,2023-08-31 16:28:56.820158,0 days 00:01:40.012257,0.287857863695122,0.934023778413634,0.8224804697127602,0.009426744722246553,0.18956834321081648,0.8354886746558874,0.4782852035054272,3.0720040769174317,0.25972442560048864,0.11,0.11137312405046826,PRUNED
80,1.3199415327386652,2023-08-31 16:28:56.834078,2023-08-31 16:30:36.507781,0 days 00:01:39.673703,0.14889010009864237,1.1853398971385682,0.7732527686628397,0.007767832427777831,0.19629357338548203,0.8221814998724254,0.44735259586610854,2.8356811922933916,0.24701101619462446,0.1,0.10596018831989477,PRUNED
81,1.174875319426787,2023-08-31 16:30:36.521260,2023-08-31 16:33:55.227254,0 days 00:03:18.705994,0.347573530349231,1.1171071434605881,0.8038780283162164,0.008731096601207794,0.16898132355547066,0.8499560567787202,0.4854795358773994,2.658581745909753,0.2658102732158578,0.1,0.10322514396806644,PRUNED
82,1.085422898860688,2023-08-31 16:33:55.245142,2023-08-31 16:38:44.022092,0 days 00:04:48.776950,0.24488039566316905,1.0745666222047798,0.7913057544613976,0.008910497899747455,0.1855029410042971,0.8278747351726281,0.48676327763480287,2.6454446536158733,0.27239552494075264,0.17,0.10061243167565254,PRUNED
83,1.036884681341496,2023-08-31 16:38:44.034784,2023-08-31 16:44:50.943662,0 days 00:06:06.908878,0.3064437756742424,1.1687583962405552,0.8139432116186806,0.009753262358035466,0.18112395551535676,0.841952293017455,0.462113852078762,2.478414077376087,0.2834514376175273,0.1,0.10966437712275301,PRUNED
84,1.1499388444085492,2023-08-31 16:44:50.969618,2023-08-31 16:48:09.824416,0 days 00:03:18.854798,0.1944169178626358,1.0373676070199371,0.7581420165431844,0.009166969631785244,0.19195174923587582,0.8462097964251768,0.4894956059015929,2.7793155418878017,0.2668374437163952,0.14,0.10484932156088832,PRUNED
85,1.14648744168011,2023-08-31 16:48:09.836124,2023-08-31 16:51:28.161934,0 days 00:03:18.325810,0.2777723644388363,0.983636721728825,0.7799990232917169,0.009421458244540519,0.16617697422017944,0.8308735261773064,0.47300105597078146,2.3661777740867005,0.27644319953366747,0.1,0.11277868316045438,PRUNED
86,1.1508556760794728,2023-08-31 16:51:28.178895,2023-08-31 16:54:46.230191,0 days 00:03:18.051296,0.3261421205122288,1.2977733838314245,0.7645852344797315,0.008921584701831626,0.18767263895989345,0.8367213666888501,0.4152752687440297,2.987073943229043,0.29561374693331827,0.11,0.10194492169286029,PRUNED
